NodeNo	x	y	T	qx	qy
391	0.781250	0.281250	78.549081	2381.376297	-4198.035874
392	0.968750	0.531250	81.790538	3380.775328	-5307.046699
393	0.937500	0.500000	81.486024	3178.576189	-5154.452454
394	0.906250	0.531250	82.790330	3017.893056	-5345.210538
395	0.906250	0.468750	81.175023	2995.065531	-5004.638488
396	0.906250	0.593750	84.517881	3027.022745	-5726.755644
397	0.875000	0.562500	84.097393	2837.040074	-5529.261219
398	0.875000	0.437500	80.859646	2827.047060	-4858.941961
399	0.843750	0.593750	85.402632	2635.382385	-5701.743167
400	0.843750	0.531250	83.678729	2667.860904	-5343.334964
401	0.812500	0.500000	83.262995	2514.892220	-5168.662193
402	0.843750	0.468750	82.061359	2677.482295	-5017.578116
403	0.781250	0.531250	84.461151	2339.636888	-5309.164076
404	0.781250	0.468750	82.850745	2374.590386	-5004.571266
405	0.843750	0.406250	80.541386	2671.791940	-4718.083408
406	0.843750	0.656250	87.244411	2567.933524	-6100.481693
407	0.812500	0.625000	86.700652	2413.634793	-5857.047343
408	0.781250	0.656250	87.985394	2174.354613	-5989.303950
409	0.781250	0.593750	86.170171	2276.867607	-5636.659837
410	0.781250	0.718750	89.914823	2014.502398	-6366.475344
411	0.750000	0.687500	89.250458	1922.236918	-6093.216975
412	0.750000	0.562500	85.652047	2152.877509	-5435.911767
413	0.812500	0.375000	80.221271	2527.008905	-4582.385280
414	0.781250	0.406250	81.332260	2389.801415	-4719.838910
415	0.781250	0.343750	79.899973	2390.791880	-4451.920452
416	0.750000	0.437500	82.442160	2244.211762	-4850.249715
417	0.750000	0.312500	79.577896	2261.563031	-4326.612225
418	0.968750	0.593750	83.507435	3439.832332	-5698.739193
419	0.968750	0.656250	85.355438	3494.825382	-6153.267431
420	0.937500	0.625000	84.938273	3243.753277	-5935.383766
421	0.968750	0.718750	87.357784	3539.834376	-6698.452711
422	0.906250	0.656250	86.372338	3013.333891	-6162.771338
423	0.968750	0.781250	89.548885	3561.398748	-7383.479050
424	0.937500	0.750000	88.957030	3223.651391	-7009.948629
425	0.906250	0.781250	90.548062	2833.330123	-7285.074875
426	0.906250	0.718750	88.373390	2960.042325	-6672.786689
427	0.906250	0.843750	92.933819	2556.381231	-8034.888242
428	0.875000	0.812500	92.111774	2373.340254	-7488.879011
429	0.875000	0.687500	87.802029	2746.655750	-6370.942413
430	0.968750	0.843750	91.983947	3522.800768	-8308.698899
431	0.968750	0.906250	94.764016	3284.347942	-9739.085348
432	0.937500	0.875000	93.815091	2823.102579	-8744.575420
433	0.968750	0.968750	98.128474	1667.766711	-11316.676982
434	0.906250	0.906250	95.578583	1894.767116	-8694.417710
435	0.843750	0.718750	89.217977	2445.314327	-6547.728438
436	0.843750	0.781250	91.339632	2232.720073	-7048.153977
437	0.812500	0.750000	90.609464	2116.224243	-6680.536369
438	0.843750	0.843750	93.625586	1833.326265	-7460.436176
439	0.781250	0.781250	91.965426	1738.726780	-6670.120760
440	0.718750	0.343750	80.607293	2136.057798	-4450.193756
441	0.718750	0.406250	82.037170	2121.625924	-4704.857313
442	0.687500	0.375000	81.635538	2005.165100	-4567.587396
